time_s,trip_id,drone_id,x,y,altitude_m,phase,connected,mode,reason
540.0,T004,U06,319456.419,2546007.231,399.182,cruise,1,direct,
540.0,T006,U01,319587.2,2545779.425,435.637,cruise,1,direct,
540.0,T009,U02,318438.025,2545848.645,571.799,cruise,1,direct,
540.0,T010,U03,318429.348,2546706.987,372.909,cruise,1,direct,
540.0,T016,U04,319359.397,2546983.971,273.057,cruise,1,direct,
545.0,T001,U07,318686.201,2545556.139,365.2,ascent,1,direct,
545.0,T002,U05,318689.952,2545555.841,591.947,cruise,1,direct,
545.0,T003,U08,318686.201,2545556.139,365.2,ascent,1,direct,
545.0,T004,U06,319521.136,2546045.134,399.182,cruise,1,direct,
545.0,T006,U01,319645.438,2545793.858,435.637,cruise,1,direct,
545.0,T009,U02,318399.207,2545894.397,571.799,cruise,1,direct,
545.0,T010,U03,318416.278,2546765.546,372.909,cruise,1,direct,
545.0,T016,U04,319384.984,2547038.241,273.057,cruise,1,direct,
550.0,T001,U07,318616.597,2545555.062,366.098,cruise,1,direct,
550.0,T002,U05,318764.716,2545549.894,591.947,cruise,1,direct,
550.0,T003,U08,318686.201,2545556.139,377.7,ascent,1,direct,
550.0,T004,U06,319585.854,2546083.037,399.182,cruise,1,direct,
550.0,T006,U01,319703.677,2545808.291,435.637,cruise,1,direct,
550.0,T009,U02,318360.389,2545940.148,571.799,cruise,1,direct,
550.0,T010,U03,318403.209,2546824.106,372.909,cruise,1,direct,
550.0,T016,U04,319410.572,2547092.511,273.057,cruise,1,direct,
555.0,T001,U07,318541.606,2545553.902,366.098,cruise,1,direct,
555.0,T002,U05,318839.48,2545543.948,591.947,cruise,1,direct,
555.0,T003,U08,318686.201,2545556.139,390.2,ascent,1,direct,
555.0,T004,U06,319650.571,2546120.94,399.182,cruise,1,direct,
555.0,T006,U01,319761.915,2545822.723,435.637,cruise,1,direct,
555.0,T009,U02,318321.572,2545985.899,571.799,cruise,1,direct,
555.0,T010,U03,318390.139,2546882.665,372.909,cruise,1,direct,
